level,0,1,2,3,4,5,6,7,
31,675483874,,,,,,,,
30,627766498,,,,,,,,
29,639773986,,,,,,,,
28,568751669,,,,,,,,
27,505401023,447276426,,,,,,,
26,475391409,423547679,,,,,,,
25,446248657,488218391,,,,,,,
24,400578673,458868167,,,,,,,
23,370220952,347847606,365546538,,,,,,
22,340240994,322935146,373375627,,,,,,
21,327587416,311957071,320438086,,,,,,
20,305159517,287818336,320615573,,,,,,
19,275030953,269768446,276827860,337217555,,,,,
18,267487458,256410507,292893245,323141599,,,,,
17,240296299,229445253,290287303,306768235,,,,,
16,223474223,213758005,271062341,276623482,,,,,
15,193061725,178107003,247805470,230081533,289774266,,,,
14,180274690,168261055,213750863,213380535,326284209,,,,
13,168674450,158568824,223958755,226690292,257470839,,,,
12,163335160,149086496,206828625,192930840,242023335,,,,
11,128533561,147670026,161388433,181728726,228753700,288025105,,,
10,118714981,135873767,139813338,171565492,211797916,274042224,,,
9,108641309,121597518,129034412,160148346,197857710,255351388,,,
8,96258785,109129362,119365013,139212631,192734022,201728789,,,
7,76545848,84860769,111634102,128756487,174741284,198063097,233359327,,
6,68781197,77389119,100319082,119705129,143500528,187128077,239007151,,
5,60960855,69978348,91387482,110474551,133958955,173935445,217101984,,
4,51426264,63529833,83060999,101911545,128340244,159801866,183774514,,
3,37170414,56013962,80523912,95363857,118972833,136156594,167812170,229399830,
2,31031463,48659807,69792536,84653073,108420256,124724373,173673885,201139724,
1,25082932,41749073,61727157,76294657,98346418,114328527,128836052,190578515,
