level,0,1,2,3,4,5,6,7,
31,717889088,571529643,617119994,656925544,740227954,783745675,851665037,785320797,
30,752013122,549878944,664491882,588616978,778563765,721530573,794577121,818365202,
29,741366015,545599628,658267979,714255284,755027873,699931239,758659845,693293401,
28,675253917,506275984,676726351,558383738,623479108,678757443,698011589,671252240,
27,623606581,488084334,544067195,639149522,585958230,784721716,623115316,643324170,
26,591482101,471237830,654895183,620662159,574881066,632715693,716795523,621742985,
25,486334698,449762790,501763966,493001649,648507716,759655531,600083036,600230778,
24,484582330,420142985,469902778,478852393,537270853,635830410,586744447,689943246,
23,397779104,412165754,502724005,447423276,510907658,537988630,555989305,597129597,
22,410772673,382100883,481511592,496429374,492710426,467578959,540679539,586878897,
21,388597955,329514033,374958064,416146941,558138428,455401861,577305336,564649015,
20,364780699,371054674,341963209,402246194,494433245,438013652,494067460,544782544,
19,317463040,329960939,371860727,381675019,369379685,504053066,540785534,516028549,
18,288244018,303851600,351512101,418516941,406109349,394082611,519628742,502598185,
17,284318085,262354799,287541555,335965768,380938815,465659701,438795151,482680587,
16,263761384,256002912,318844862,301497422,339845980,363819519,480200884,464591159,
15,221677873,196182359,249795886,281913627,320903672,417317248,408265530,441611821,
14,199286755,185524287,237816479,236676140,302132772,326111005,403300264,422714817,
13,187053144,174110534,223721421,225297467,284367182,311104496,380992809,406510441,
12,171117001,164283211,206111130,213871463,270422398,297854487,370939474,388442698,
11,147509524,150278892,165383074,223752655,244061521,338052887,367638637,368348555,
10,135314812,141102505,164375564,186735113,237834522,302447169,351456547,352473413,
9,124029321,139849402,153809255,195977073,216543983,277313759,295599956,334592288,
8,110457789,127345669,142353881,166500801,204118446,220192857,277302532,320396715,
7,85996536,98814089,127913402,138818393,198490044,202196445,249405451,297166336,
6,76837173,83288669,107525169,137844427,164465887,187731566,253829135,280793714,
5,67763796,75381314,108041005,119260841,146697041,176614375,230129868,264774438,
4,57364875,67693532,90313429,110378114,137057455,186004754,191688160,249853948,
3,40394972,57883490,85808760,97570286,120256672,137433750,195010165,215784299,
2,33033106,50391515,69872980,88692574,115098020,132968025,181017758,194576305,
1,26824946,43207347,67863993,79716340,100390723,115122123,135467924,194151873,
