name,time/op (ns/op),±
KeySwitch/L-39/l-36/r-1(k-1/m-1)-48,1.57649E+09,2%
KeySwitch/L-39/l-36/r-2(k-1/m-2)-48,1.22561E+09,6%
KeySwitch/L-39/l-36/r-4(k-1/m-4)-48,8.62014E+08,9%
KeySwitch/L-38/l-36/r-2(k-2/m-1)-48,1.29443E+09,10%
KeySwitch/L-38/l-36/r-4(k-2/m-2)-48,8.63698E+08,6%
KeySwitch/L-36/l-36/r-4(k-4/m-1)-48,8.07385E+08,2%
KeySwitch/L-39/l-32/r-1(k-1/m-1)-48,1.28686E+09,3%
KeySwitch/L-39/l-32/r-2(k-1/m-2)-48,1.05669E+09,6%
KeySwitch/L-39/l-32/r-4(k-1/m-4)-48,7.65472E+08,11%
KeySwitch/L-39/l-32/r-8(k-1/m-8)-48,5.79129E+08,5%
KeySwitch/L-38/l-32/r-2(k-2/m-1)-48,1.05779E+09,8%
KeySwitch/L-38/l-32/r-4(k-2/m-2)-48,7.04441E+08,1%
KeySwitch/L-38/l-32/r-8(k-2/m-4)-48,5.91037E+08,4%
KeySwitch/L-36/l-32/r-4(k-4/m-1)-48,7.10792E+08,1%
KeySwitch/L-36/l-32/r-8(k-4/m-2)-48,6.26769E+08,13%
KeySwitch/L-39/l-28/r-1(k-1/m-1)-48,9.72605E+08,2%
KeySwitch/L-39/l-28/r-2(k-1/m-2)-48,6.72958E+08,4%
KeySwitch/L-39/l-28/r-4(k-1/m-4)-48,5.28128E+08,8%
KeySwitch/L-39/l-28/r-8(k-1/m-8)-48,4.89452E+08,11%
KeySwitch/L-38/l-28/r-2(k-2/m-1)-48,7.02503E+08,1%
KeySwitch/L-38/l-28/r-4(k-2/m-2)-48,5.58012E+08,5%
KeySwitch/L-38/l-28/r-8(k-2/m-4)-48,5.08551E+08,1%
KeySwitch/L-36/l-28/r-4(k-4/m-1)-48,5.45826E+08,11%
KeySwitch/L-36/l-28/r-8(k-4/m-2)-48,4.70198E+08,1%
KeySwitch/L-39/l-24/r-1(k-1/m-1)-48,7.34325E+08,3%
KeySwitch/L-39/l-24/r-2(k-1/m-2)-48,5.00483E+08,0%
KeySwitch/L-39/l-24/r-4(k-1/m-4)-48,3.66676E+08,3%
KeySwitch/L-39/l-24/r-8(k-1/m-8)-48,3.37545E+08,0%
KeySwitch/L-38/l-24/r-2(k-2/m-1)-48,5.18459E+08,2%
KeySwitch/L-38/l-24/r-4(k-2/m-2)-48,3.64788E+08,0%
KeySwitch/L-38/l-24/r-8(k-2/m-4)-48,3.44497E+08,0%
KeySwitch/L-36/l-24/r-4(k-4/m-1)-48,3.69969E+08,4%
KeySwitch/L-36/l-24/r-8(k-4/m-2)-48,3.36428E+08,0%
KeySwitch/L-39/l-20/r-1(k-1/m-1)-48,5.27883E+08,4%
KeySwitch/L-39/l-20/r-2(k-1/m-2)-48,3.75386E+08,0%
KeySwitch/L-39/l-20/r-4(k-1/m-4)-48,2.74189E+08,2%
KeySwitch/L-39/l-20/r-8(k-1/m-8)-48,2.78651E+08,1%
KeySwitch/L-38/l-20/r-2(k-2/m-1)-48,3.77325E+08,1%
KeySwitch/L-38/l-20/r-4(k-2/m-2)-48,2.74490E+08,1%
KeySwitch/L-38/l-20/r-8(k-2/m-4)-48,2.92889E+08,6%
KeySwitch/L-36/l-20/r-4(k-4/m-1)-48,3.01947E+08,5%
KeySwitch/L-36/l-20/r-8(k-4/m-2)-48,3.20277E+08,8%
